key,flaming,smoldering,residual,total
gorup-21;moderate;moderate;moderate,51620640.51785099,10507109.1010043,6213799.651351191,68341549.27020648
gorup-21;moderate;moderate;moist,51620640.51785099,10507109.1010043,6213799.651351191,68341549.27020648
gorup-21;moderate;moderate;wet,51620640.51785099,10507109.1010043,6213799.651351191,68341549.27020648
gorup-21;moderate;moderate;very wet,51620640.51785099,10507109.1010043,6213799.651351191,68341549.27020648
gorup-21;moderate;moist;very dry,50490943.30301637,10381911.773907742,6213799.651351191,67086654.72827531
gorup-21;moderate;moist;dry,50490943.30301637,10381911.773907742,6213799.651351191,67086654.72827531
gorup-21;moderate;moist;moderate,50490943.30301637,10381911.773907742,6213799.651351191,67086654.72827531
gorup-21;moderate;moist;moist,50490943.30301637,10381911.773907742,6213799.651351191,67086654.72827531
gorup-21;moderate;moist;wet,50490943.30301637,10381911.773907742,6213799.651351191,67086654.72827531
gorup-21;moderate;moist;very wet,50490943.30301637,10381911.773907742,6213799.651351191,67086654.72827531
gorup-21;moderate;wet;very dry,49135306.64521484,10231674.981391871,6213799.651351191,65580781.277957894
gorup-21;moderate;wet;dry,49135306.64521484,10231674.981391871,6213799.651351191,65580781.277957894
gorup-21;moderate;wet;moderate,49135306.64521484,10231674.981391871,6213799.651351191,65580781.277957894
gorup-21;moderate;wet;moist,49135306.64521484,10231674.981391871,6213799.651351191,65580781.277957894
gorup-21;moderate;wet;wet,49135306.64521484,10231674.981391871,6213799.651351191,65580781.277957894
gorup-21;moderate;wet;very wet,49135306.64521484,10231674.981391871,6213799.651351191,65580781.277957894
gorup-21;moderate;very wet;very dry,47642360.96235483,10066221.082293976,6213799.651351191,63922381.696
gorup-21;moderate;very wet;dry,47642360.96235483,10066221.082293976,6213799.651351191,63922381.696
gorup-21;moderate;very wet;moderate,47642360.96235483,10066221.082293976,6213799.651351191,63922381.696
gorup-21;moderate;very wet;moist,47642360.96235483,10066221.082293976,6213799.651351191,63922381.696
gorup-21;moderate;very wet;wet,47642360.96235483,10066221.082293976,6213799.651351191,63922381.696
gorup-21;moderate;very wet;very wet,47642360.96235483,10066221.082293976,6213799.651351191,63922381.696
gorup-21;moist;very dry;very dry,52918130.87095955,9925508.978881788,5421546.052613719,68265185.90245506
gorup-21;moist;very dry;dry,52918130.87095955,9925508.978881788,5421546.052613719,68265185.90245506
gorup-21;moist;very dry;moderate,52918130.87095955,9925508.978881788,5421546.052613719,68265185.90245506
gorup-21;moist;very dry;moist,52918130.87095955,9925508.978881788,5421546.052613719,68265185.90245506
gorup-21;moist;very dry;wet,52918130.87095955,9925508.978881788,5421546.052613719,68265185.90245506
gorup-21;moist;very dry;very wet,52918130.87095955,9925508.978881788,5421546.052613719,68265185.90245506
gorup-21;moist;dry;very dry,52014373.09909186,9825351.117204541,5421546.052613719,67261270.26891011
gorup-21;moist;dry;dry,52014373.09909186,9825351.117204541,5421546.052613719,67261270.26891011
gorup-21;moist;dry;moderate,52014373.09909186,9825351.117204541,5421546.052613719,67261270.26891011
gorup-21;moist;dry;moist,52014373.09909186,9825351.117204541,5421546.052613719,67261270.26891011
gorup-21;moist;dry;wet,52014373.09909186,9825351.117204541,5421546.052613719,67261270.26891011
gorup-21;moist;dry;very wet,52014373.09909186,9825351.117204541,5421546.052613719,67261270.26891011
gorup-21;moist;moderate;very dry,50432796.998323396,9650074.859269358,5421546.052613719,65504417.91020647
gorup-21;moist;moderate;dry,50432796.998323396,9650074.859269358,5421546.052613719,65504417.91020647
gorup-21;moist;moderate;moderate,50432796.998323396,9650074.859269358,5421546.052613719,65504417.91020647
gorup-21;moist;moderate;moist,50432796.998323396,9650074.859269358,5421546.052613719,65504417.91020647
gorup-21;moist;moderate;wet,50432796.998323396,9650074.859269358,5421546.052613719,65504417.91020647
gorup-21;moist;moderate;very wet,50432796.998323396,9650074.859269358,5421546.052613719,65504417.91020647
gorup-21;moist;moist;very dry,49303099.78348878,9524877.532172801,5421546.052613719,64249523.36827531
gorup-21;moist;moist;dry,49303099.78348878,9524877.532172801,5421546.052613719,64249523.36827531
gorup-21;moist;moist;moderate,49303099.78348878,9524877.532172801,5421546.052613719,64249523.36827531
gorup-21;moist;moist;moist,49303099.78348878,9524877.532172801,5421546.052613719,64249523.36827531
gorup-21;moist;moist;wet,49303099.78348878,9524877.532172801,5421546.052613719,64249523.36827531
gorup-21;moist;moist;very wet,49303099.78348878,9524877.532172801,5421546.052613719,64249523.36827531
gorup-21;moist;wet;very dry,47947463.12568725,9374640.739656929,5421546.052613719,62743649.917957895
gorup-21;moist;wet;dry,47947463.12568725,9374640.739656929,5421546.052613719,62743649.917957895
gorup-21;moist;wet;moderate,47947463.12568725,9374640.739656929,5421546.052613719,62743649.917957895
gorup-21;moist;wet;moist,47947463.12568725,9374640.739656929,5421546.052613719,62743649.917957895
gorup-21;moist;wet;wet,47947463.12568725,9374640.739656929,5421546.052613719,62743649.917957895
gorup-21;moist;wet;very wet,47947463.12568725,9374640.739656929,5421546.052613719,62743649.917957895
gorup-21;moist;very wet;very dry,46454517.44282724,9209186.840559036,5421546.052613719,61085250.335999995
gorup-21;moist;very wet;dry,46454517.44282724,9209186.840559036,5421546.052613719,61085250.335999995
gorup-21;moist;very wet;moderate,46454517.44282724,9209186.840559036,5421546.052613719,61085250.335999995
gorup-21;moist;very wet;moist,46454517.44282724,9209186.840559036,5421546.052613719,61085250.335999995
gorup-21;moist;very wet;wet,46454517.44282724,9209186.840559036,5421546.052613719,61085250.335999995
gorup-21;moist;very wet;very wet,46454517.44282724,9209186.840559036,5421546.052613719,61085250.335999995
gorup-21;wet;very dry;very dry,51730287.351431966,9068474.737146849,4629292.453876249,65428054.54245507
gorup-21;wet;very dry;dry,51730287.351431966,9068474.737146849,4629292.453876249,65428054.54245507
gorup-21;wet;very dry;moderate,51730287.351431966,9068474.737146849,4629292.453876249,65428054.54245507
gorup-21;wet;very dry;moist,51730287.351431966,9068474.737146849,4629292.453876249,65428054.54245507
gorup-21;wet;very dry;wet,51730287.351431966,9068474.737146849,4629292.453876249,65428054.54245507
gorup-21;wet;very dry;very wet,51730287.351431966,9068474.737146849,4629292.453876249,65428054.54245507
gorup-21;wet;dry;very dry,50826529.57956427,8968316.875469603,4629292.453876249,64424138.908910125
